"ID","Handle","Title","Tags","Tags Command","Variant Inventory Item ID","Variant ID","Variant Command","Variant Position","Variant SKU","Variant Price","Variant Compare At Price","Variant Inventory Qty","Variant Inventory Adjust","Variant Metafield: custom.contains_pfas [boolean]"
"7617840546041","grundies-lightweight-bottom","Grundies Lightweight Bottom","","REPLACE","44837354111225","42741753184505","MERGE","1","30006-025-0013","39.99","","2","0",""
"7617840546041","grundies-lightweight-bottom","Grundies Lightweight Bottom","","REPLACE","44837354143993","42741753217273","MERGE","2","30006-025-0014","39.99","","20","0",""
"7617840546041","grundies-lightweight-bottom","Grundies Lightweight Bottom","","REPLACE","44837354176761","42741753250041","MERGE","3","30006-025-0015","39.99","","4","0",""
"7617840546041","grundies-lightweight-bottom","Grundies Lightweight Bottom","","REPLACE","44837354209529","42741753282809","MERGE","4","30006-025-0016","39.99","","7","0",""
"7617840546041","grundies-lightweight-bottom","Grundies Lightweight Bottom","","REPLACE","44837354242297","42741753315577","MERGE","5","30006-025-0017","39.99","","2","0",""
"7617840546041","grundies-lightweight-bottom","Grundies Lightweight Bottom","","REPLACE","44837354275065","42741753348345","MERGE","6","30006-025-0018","39.99","","0","0",""
"7617840480505","grundies-thermal-1-4-zip-top","Grundies Thermal 1/4 Zip Top","base-layer, mens, Sale, Sale 2, tag__hot_Sale","REPLACE","44837353750777","42741752824057","MERGE","1","20022-025-0013","51.99","69.99","16","0",""
"7617840480505","grundies-thermal-1-4-zip-top","Grundies Thermal 1/4 Zip Top","base-layer, mens, Sale, Sale 2, tag__hot_Sale","REPLACE","44837353783545","42741752856825","MERGE","2","20022-025-0014","51.99","69.99","0","0",""
"7617840480505","grundies-thermal-1-4-zip-top","Grundies Thermal 1/4 Zip Top","base-layer, mens, Sale, Sale 2, tag__hot_Sale","REPLACE","44837353816313","42741752889593","MERGE","3","20022-025-0015","51.99","69.99","0","0",""
"7617840480505","grundies-thermal-1-4-zip-top","Grundies Thermal 1/4 Zip Top","base-layer, mens, Sale, Sale 2, tag__hot_Sale","REPLACE","44837353849081","42741752922361","MERGE","4","20022-025-0016","51.99","69.99","0","0",""
